Policy,Episode,Total Reward,Avg Throughput/Step,Avg Coverage/Step,Thermal Violations,Steps Completed
Random,0,4204.171345353877,11.534504952534814,0.3749673905544131,1540,500
Random,1,4249.338014493047,11.484060174860703,0.3749673905544131,1540,500
Random,2,4259.772564672209,11.517583424702575,0.3749673905544131,1540,500
Walker Standard,0,3061.303875136651,22.239385146323823,0.3750955910386513,802,259
Walker Standard,1,2855.8478077866116,22.115710048536968,0.3751871466110965,751,242
Walker Standard,2,3287.583831984706,22.35379164455532,0.3749476782362063,856,277
Rule-Based,0,2777.863683676537,18.79903451571854,0.3751160352818222,790,255
Rule-Based,1,2722.9076189965244,18.763331482005263,0.3751891609401054,772,249
Rule-Based,2,2968.8703077867144,18.889443348633627,0.3750155965982454,838,271
Thermal-Naive RL,0,2642.49951171875,1.1672751332399707,0.37486714900872,0,500
Thermal-Naive RL,1,2627.491455078125,1.1651588071252557,0.37486714900872,0,500
Thermal-Naive RL,2,2649.39013671875,1.1672789277043045,0.37486714900872,0,500
